1, ,Noun,||
150,Akeldama,Noun,|Akeldamas|
151,Akim,Noun,|Akims|
152,Akkad,Noun,|Akkads|
153,Akko,Noun,|Akkos|
154,Akkub,Noun,|Akkubs|
155,Aksah,Noun,|Aksahs|
156,Akshaph,Noun,|Akshaphs|
157,Akzib,Noun,|Akzibs|
158,alabaster,Noun,|alabaster|
159,alcohol,Noun,|alcohol|
160,Alex,Noun,|Alexes|
161,Alexander,Noun,|Alexanders|
162,Alexandria,Noun,|Alexandrias|
163,Allammelek,Noun,|Allammeleks|
164,Allon Bakuth,Noun,|Allons Bakuth|
165,Almodad,Noun,|Almodads|
166,Almon,Noun,|Almons|
167,almond,Noun,|almonds|
168,aloe,Noun,|aloes|
169,Aloth,Noun,|Aloths|
170,Alphaeus,Noun,|Alphaeuses|
171,altar,Noun,|altars|
172,Alvah,Noun,|Alvahs|
173,Alvan,Noun,|Alvans|
174,Amad,Noun,|Amads|
175,Amalek,Noun,|Amaleks|
176,Amalek,Noun,|Amaleks|
177,Amalekite,Noun,|Amalekites|
178,Amam,Noun,|Amams|
179,Amariah,Noun,|Amariahs|
180,Amasa,Noun,|Amasas|
181,Amashsai,Noun,|Amashsais|
182,Amittai,Noun,|Amittais|
183,Ammah,Noun,|Ammahs|
184,Ammiel,Noun,|Ammiels|
185,Ammihud,Noun,|Ammihuds|
186,Amminadab,Noun,|Amminadabs|
187,Ammon,Noun,|Ammons|
188,Ammonite,Noun,|Ammonites|
189,Amnon,Noun,|Amnons|
190,Amok,Noun,|Amoks|
191,Amon,Noun,|Amons|
192,Amorite,Noun,|Amorites|
193,Amos,Noun,|Amoses|
194,Amos,Noun,|Amoses|
195,amount,Noun,|amounts|
196,Amphipolis,Noun,|Amphipolises|
197,Amram,Noun,|Amrams|
198,Amraphel,Noun,|Amraphels|
199,Amzi,Noun,|Amzis|
200,Anab,Noun,|Anabs|
201,Anah,Noun,|Anahs|
202,Anah,Noun,|Anahs|
203,Anaharath,Noun,|Anaharaths|
204,Anaiah,Noun,|Anaiahs|
205,Anak,Noun,|Anaks|
206,Anakite,Noun,|Anakites|
207,Anamite,Noun,|Anamites|
208,Anan,Noun,|Anans|
209,Ananiah,Noun,|Ananiahs|
210,Ananiah,Noun,|Ananiahs|
211,Ananias,Noun,|Ananiases|
212,Anath,Noun,|Anaths|
213,Anathoth,Noun,|Anathoths|
214,ancestor,Noun,|ancestors|
215,Ancient of Days,Noun,|Ancient of Days|
216,Andrew,Noun,|Andrews|
217,Aner,Noun,|Aners|
218,angel,Noun,|angels|
219,anger,Noun,|anger|
220,Anim,Noun,|Anims|
221,animal,Noun,|animals|
222,ankle,Noun,|ankles|
223,Anna,Noun,|Annas|
224,Annas,Noun,|Annases|
225,Anointed One,Noun,|Anointeds One|
226,answer,Noun,|answers|
227,ant,Noun,|ants|
228,Antioch,Noun,|Antioches|
229,Antipas,Noun,|Antipases|
230,Antipatris,Noun,|Antipatrises|
231,ape,Noun,|apes|
232,Aphek,Noun,|Apheks|
233,Aphekah,Noun,|Aphekahs|
234,Aphekk,Noun,|Aphekks|
235,Aphiah,Noun,|Aphiahs|
236,Apollonia,Noun,|Apollonias|
237,Apollos,Noun,|Apolloses|
